Jurisdicti,Situs_St_1,MEGA_APN,center_longitude,center_latitude,FieldDesc,Situs_St_2,Roll_Acres,MAP_PAGE,IrrigAcres,InactiveDa,Att1,Shape__Are,ActiveDate,CITY,Roll_AsmtD,Att5,MAPYEAR,Situs_St_3,GIS_Acres,WA_NUM,StandbyAcr,Agency_ID,FieldID,Situs_Stre,Situs_Spac,field_id,Att3,Comment,Att4,Deed_Acres,Roll_TRA,geometry_type,ZIP,OBJECTID,Att2,district,WA_FLAG,Name,ActiveFlag,VolRateAdj,Roll_Land,AreaAC,ParcelID,Roll_Asmt,unq_fld_id,Roll_Struc,FieldAcres,Shape__Len,LOT
,,,-121.75051031602536,39.00077208033738,"11-34(N), 167 A2",,,,117.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,159.96,,D1A_021,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,117.374,"24-080-004, 24-080-008",,21,,117.0,,
,,,-121.74103827480764,39.00053117257298,167 (S),,,,152.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,156.31,,D1A_022,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,165.0292,24-080-008 South 152 Acres,,22,,152.0,,
,,,-121.76891994640927,39.000404746349595,"11-36, 11-37",,,,142.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,150.63,,D1A_023,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,137.0412,,,23,,142.0,,
,,,-121.75721338879711,39.000189461164204,11-35 (E),,,,85.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,85.47,,D1A_024,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,76.6286,,,24,,85.0,,
,,,-121.76204286997996,39.000179286443064,11-35 (W),,,,80.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,85.46,,D1A_025,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,76.8366,24-080-003,,25,,80.0,,
,,,-121.74984019475653,38.99526733928916,"11-34(S),  11-46A",,,,128.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,91.74,,D1A_026,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,110.8927,,,26,,128.0,,
,,,-121.73434240161093,38.99433261483515,10-02 (N),,,,86.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,145.1,,D1A_027,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,64.2775,24-110-008 North 86 Acres,,27,,86.0,,
,,,-121.7596841844362,38.99292188222026,11-45A,,,,163.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,167.3,,D1A_028,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,157.0977,24-110-001,,28,,163.0,,
,,,-121.76725014039721,38.99107147219912,"11-44, 11-47 NE",,,,130.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,144.85,,D1A_029,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,141.9639,24-100-007,,29,,130.0,,
,,,-121.74063764448482,38.989160446311395,"10-01A, 10-01B",,,,281.0,2199/12/31 00:00:00.000,,,2023/04/01 00:00:00.000,,,,,,,,288.94,,D1A_030,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,272.901,24-110-009,,30,,281.0,,
,,,-121.75003928068179,38.98759717435252,11-46B,,,,248.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,251.11,,D1A_031,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,229.6079,"24-110-010, 24-110-003",,31,,248.0,,
,,,-121.73226973150763,38.98682361096292,10-02 (S),,,,178.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,145.1,,D1A_032,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,163.6303,24-110-008 South 178 Acres,,32,,178.0,,
,,,-121.75973234089827,38.98573929159428,11-45B,,,,158.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,162.6,,D1A_033,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,157.0111,24-110-001 South 158 Acres,,33,,158.0,,
,,,-121.72750915003186,38.9838044323945,10-03 (W),,,,30.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,41.41,,D1A_034,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,33.1973,24-120-004 West 30 Acres,,34,,30.0,,
,,,-121.72370056728593,38.98288418735053,10-03 (E),,,,34.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,41.41,,D1A_035,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,23.6356,,,35,,34.0,,
,,,-121.73451118335683,38.9783813597259,10-05 (NW),,,,73.0,2199/12/31 00:00:00.000,,,2022/02/28 00:00:00.000,,,,,,,,81.43,,D1A_036,,,,,,,,,Polygon,,,,SMWC,,,Y,0.0,,61.7119,24-140-006 North West 73 Acres,,36,,73.0,,
